30.492,3543.921
30.767,3537.01
31.085,3528.726
31.462,3518.535
31.927,3505.539
32.427,3491.144
32.927,3476.437
33.427,3461.516
33.927,3446.446
34.427,3431.276
34.927,3416.042
35.427,3400.766
35.927,3385.465
36.427,3370.152
36.927,3354.835
37.427,3339.518
37.927,3324.206
38.427,3308.902
38.927,3293.606
39.427,3278.32
39.927,3263.046
40.427,3247.782
40.927,3232.531
41.427,3217.291
41.927,3202.063
42.427,3186.849
42.927,3171.647
43.427,3156.458
43.927,3141.282
44.427,3126.119
44.927,3110.969
45.427,3095.832
45.927,3080.708
46.427,3065.598
46.927,3050.5
47.427,3035.414
47.927,3020.342
48.427,3005.282
48.927,2990.234
49.427,2975.199
49.927,2960.177
50.427,2945.167
50.927,2930.17
51.427,2915.185
51.927,2900.212
52.427,2885.252
52.927,2870.304
53.427,2855.368
53.927,2840.444
54.427,2825.532
54.927,2810.633
55.427,2795.745
55.927,2780.869
56.427,2766.005
56.927,2751.153
57.427,2736.313
57.927,2721.485
58.427,2706.668
58.927,2691.864
59.427,2677.071
59.927,2662.291
60.427,2647.523
60.927,2632.767
61.427,2618.024
61.927,2603.293
62.427,2588.574
62.927,2573.867
63.427,2559.171
63.927,2544.488
64.427,2529.817
64.927,2515.158
65.427,2500.51
65.927,2485.875
66.427,2471.251
66.927,2456.638
67.427,2442.038
67.927,2427.449
68.427,2412.872
68.927,2398.306
69.427,2383.751
69.927,2369.208
70.427,2354.676
70.927,2340.156
71.427,2325.647
71.927,2311.149
72.427,2296.663
72.927,2282.187
73.427,2267.723
73.927,2253.27
74.427,2238.828
74.927,2224.397
75.427,2209.977
75.927,2195.568
76.427,2181.17
76.927,2166.784
77.427,2152.409
77.927,2138.046
78.427,2123.694
78.927,2109.353
79.427,2095.024
79.927,2080.706
80.427,2066.4
80.927,2052.104
81.427,2037.82
81.927,2023.547
82.427,2009.285
82.927,1995.034
83.427,1980.794
83.927,1966.565
84.427,1952.347
84.927,1938.14
85.427,1923.943
85.927,1909.758
86.427,1895.583
86.927,1881.419
87.427,1867.266
87.927,1853.123
88.427,1838.991
88.927,1824.87
89.427,1810.759
89.927,1796.658
90.427,1782.568
90.927,1768.488
91.427,1754.419
91.927,1740.36
92.427,1726.311
92.927,1712.272
93.427,1698.244
93.927,1684.227
94.427,1670.22
94.927,1656.224
95.427,1642.239
95.927,1628.264
96.427,1614.3
96.927,1600.347
97.427,1586.404
97.927,1572.472
98.427,1558.55
98.927,1544.639
99.427,1530.738
99.927,1516.848
100.427,1502.968
100.927,1489.098
101.427,1475.239
101.927,1461.39
102.427,1447.551
102.927,1433.722
103.427,1419.903
103.927,1406.095
104.427,1392.296
104.927,1378.508
105.427,1364.729
105.927,1350.961
106.427,1337.202
106.927,1323.454
107.427,1309.714
107.927,1295.985
108.427,1282.266
108.927,1268.556
109.427,1254.856
109.927,1241.166
110.427,1227.485
110.927,1213.815
111.427,1200.154
111.927,1186.502
112.427,1172.861
112.927,1159.23
113.427,1145.609
113.927,1131.998
114.427,1118.397
114.927,1104.806
115.427,1091.225
115.927,1077.653
116.427,1064.092
116.927,1050.54
117.427,1036.998
117.927,1023.466
118.427,1009.943
118.927,996.43
119.427,982.927
119.927,969.433
120.427,955.949
120.927,942.474
121.427,929.009
121.927,915.554
122.427,902.108
122.927,888.671
123.427,875.243
123.927,861.825
124.427,848.417
124.927,835.017
125.427,821.627
125.927,808.246
126.427,794.874
126.927,781.511
127.427,768.158
127.927,754.813
128.427,741.477
128.927,728.151
129.427,714.833
129.927,701.525
130.427,688.226
130.927,674.937
131.427,661.657
131.927,648.386
132.427,635.125
132.927,621.873
133.427,608.63
133.927,595.396
134.427,582.172
134.927,568.957
135.427,555.751
135.927,542.555
136.427,529.367
136.927,516.189
137.427,503.019
137.927,489.859
138.427,476.708
138.927,463.566
139.427,450.433
139.927,437.309
140.427,424.194
140.927,411.087
141.427,397.989
141.927,384.901
142.427,371.821
142.927,358.749
143.427,345.687
143.927,332.633
144.427,319.587
144.927,306.551
145.427,293.523
145.428,293.497
145.431,293.404
145.435,293.308
145.439,293.208
